Centaur Zendo round 4 (training)
round_id : c2eee4ac805144a8aa794031acdfd1d8
written  : 2026-09-04 12:18:58Z
presented=487  answered=487  correct=276  skipped=0
client answer latency: mean 0.130 ms  median 0.122 ms  max 1.079 ms  (n=487)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  velk          HXDP|4                                    H X D P\n|  \  |\nH D X P\n \  | |\nD H…  1
 289  velk          ZCNH|5                                    Z C N H\n|  \  |\nZ N C H\n \  | |\nN Z…  1
 290  velk          FZSHJ|4                                   F Z S H J\n| |  \  |\nF Z H S J\n|  \  …  0
 291  velk          DJCHY|2                                   D J C H Y\n| |  \  |\nD J H C Y\n|  \  …  1
 292  velk          KGXS|6                                    K G X S\n|  \  |\nK X G S\n \  | |\nX K…  1
 293  velk          MKTRJ|6                                   M K T R J\n \  | | |\nK M T R J\n| |  \…  0
 294  velk          SDOVC|4                                   S D O V C\n| |  \  |\nS D V O C\n|  \  …  0
 295  velk          QMOVXY|5                                  Q M O V X Y\n| | |  \  |\nQ M O X V Y\n…  1
 296  velk          SCZG|2                                    S C Z G\n|  \  |\nS Z C G\n \  | |\nZ S…  1
 297  velk          GJTMQE|6                                  G J T M Q E\n| |  \  | |\nG J M T Q E\n…  1
 298  velk          JCEZ|5                                    J C E Z\n|  \  |\nJ E C Z\n \  | |\nE J…  0
 299  velk          HAXRVU|6                                  H A X R V U\n| | |  \  |\nH A X V R U\n…  0
 300  velk          RVXF|3                                    R V X F\n|  \  |\nR X V F\n \  | |\nX R…  1
 301  velk          YSNW|4                                    Y S N W\n \  | |\nS Y N W\n| |  \\nS Y …  1
 302  velk          NBAX|3                                    N B A X\n|  \  |\nN A B X\n \  | |\nA N…  0
 303  velk          KHPT|5                                    K H P T\n|  \  |\nK P H T\n \  | |\nP K…  1
 304  velk          VBGQMF|3                                  V B G Q M F\n| | |  \  |\nV B G M Q F\n…  1
 305  velk          YXVZSJ|4                                  Y X V Z S J\n| |  \  | |\nY X Z V S J\n…  1
 306  velk          MTKS|6                                    M T K S\n|  \  |\nM K T S\n \  | |\nK M…  0
 307  velk          BZVGRS|6                                  B Z V G R S\n| | |  \  |\nB Z V R G S\n…  0
 308  velk          NHQSFC|2                                  N H Q S F C\n| | |  \  |\nN H Q F S C\n…  1
 309  velk          HDJZ|6                                    H D J Z\n \  | |\nD H J Z\n| |  \\nD H …  1
 310  velk          MKVZB|6                                   M K V Z B\n| |  \  |\nM K Z V B\n|  \  …  0
 311  velk          NQBX|2                                    N Q B X\n|  \  |\nN B Q X\n \  | |\nB N…  1
 312  velk          YNICFW|2                                  Y N I C F W\n| | |  \  |\nY N I F C W\n…  1
 313  velk          VZKCO|3                                   V Z K C O\n|  \  | |\nV K Z C O\n \  | …  1
 314  velk          QHTG|2                                    Q H T G\n|  \  |\nQ T H G\n \  | |\nT Q…  1
 315  velk          MKJP|3                                    M K J P\n|  \  |\nM J K P\n \  | |\nJ M…  0
 316  velk          XIOZUR|6                                  X I O Z U R\n| | |  \  |\nX I O U Z R\n…  0
 317  velk          AFMXOG|6                                  A F M X O G\n \  | | | |\nF A M X O G\n…  0
 318  velk          BKSJW|3                                   B K S J W\n| |  \  |\nB K J S W\n|  \  …  0
 319  velk          FNGJHE|4                                  F N G J H E\n| | |  \  |\nF N G H J E\n…  1
 320  velk          MRBKQY|2                                  M R B K Q Y\n| | |  \  |\nM R B Q K Y\n…  1
 321  velk          MCRYFW|3                                  M C R Y F W\n| |  \  | |\nM C Y R F W\n…  1
 322  velk          QUPIO|4                                   Q U P I O\n| |  \  |\nQ U I P O\n|  \  …  0
 323  velk          SIGRA|5                                   S I G R A\n| |  \  |\nS I R G A\n|  \  …  0
 324  velk          ANEF|3                                    A N E F\n|  \  |\nA E N F\n \  | |\nE A…  1
 325  velk          OLSK|5                                    O L S K\n \  | |\nL O S K\n| |  \\nL O …  1
 326  velk          YDQWOG|2                                  Y D Q W O G\n| | |  \  |\nY D Q O W G\n…  1
 327  velk          EFQOI|2                                   E F Q O I\n| |  \  |\nE F O Q I\n|  \  …  1
 328  velk          NJVA|4                                    N J V A\n|  \  |\nN V J A\n \  | |\nV N…  1
 329  velk          ZELIU|6                                   Z E L I U\n|  \  | |\nZ L E I U\n \  | …  1
 330  velk          EQOJU|3                                   E Q O J U\n| |  \  |\nE Q J O U\n|  \  …  0
 331  velk          BLSNYK|4                                  B L S N Y K\n| | |  \  |\nB L S Y N K\n…  0
 332  velk          YPDF|5                                    Y P D F\n|  \  |\nY D P F\n \  | |\nD Y…  1
 333  velk          OJRP|5                                    O J R P\n \  | |\nJ O R P\n| |  \\nJ O …  1
 334  velk          YWIPE|4                                   Y W I P E\n| |  \  |\nY W P I E\n|  \  …  0
 335  velk          BAMJ|6                                    B A M J\n|  \  |\nB M A J\n \  | |\nM B…  1
 336  velk          YZOS|3                                    Y Z O S\n|  \  |\nY O Z S\n \  | |\nO Y…  1
 337  velk          MJUW|4                                    M J U W\n|  \  |\nM U J W\n \  | |\nU M…  1
 338  velk          XQND|4                                    X Q N D\n|  \  |\nX N Q D\n \  | |\nN X…  0
 339  velk          GFBX|2                                    G F B X\n|  \  |\nG B F X\n \  | |\nB G…  1
 340  velk          CEXO|3                                    C E X O\n|  \  |\nC X E O\n \  | |\nX C…  1
 341  velk          GCNZPR|2                                  G C N Z P R\n| | |  \  |\nG C N P Z R\n…  1
 342  velk          ZXFDR|6                                   Z X F D R\n| |  \  |\nZ X D F R\n|  \  …  0
 343  velk          DFVXGA|2                                  D F V X G A\n| | |  \  |\nD F V G X A\n…  1
 344  velk          ZOHGS|6                                   Z O H G S\n| |  \  |\nZ O G H S\n|  \  …  1
 345  velk          QXWBI|6                                   Q X W B I\n|  \  | |\nQ W X B I\n \  | …  1
 346  velk          VAKD|3                                    V A K D\n|  \  |\nV K A D\n \  | |\nK V…  0
 347  velk          VRWT|6                                    V R W T\n|  \  |\nV W R T\n \  | |\nW V…  0
 348  velk          ADLTC|5                                   A D L T C\n| |  \  |\nA D T L C\n|  \  …  0
 349  velk          JRNED|6                                   J R N E D\n \  | | |\nR J N E D\n| |  \…  0
 350  velk          GNUDZ|4                                   G N U D Z\n| |  \  |\nG N D U Z\n|  \  …  0
 351  velk          OZLNQ|4                                   O Z L N Q\n| |  \  |\nO Z N L Q\n|  \  …  1
 352  velk          JILDYF|4                                  J I L D Y F\n| | |  \  |\nJ I L Y D F\n…  1
 353  velk          RVQE|5                                    R V Q E\n|  \  |\nR Q V E\n \  | |\nQ R…  1
 354  velk          MUZTH|2                                   M U Z T H\n| |  \  |\nM U T Z H\n|  \  …  1
 355  velk          DXTP|5                                    D X T P\n|  \  |\nD T X P\n \  | |\nT D…  0
 356  velk          XPJKG|6                                   X P J K G\n| |  \  |\nX P K J G\n|  \  …  0
 357  velk          BJLR|6                                    B J L R\n \  | |\nJ B L R\n| |  \\nJ B …  1
 358  velk          DZPIO|4                                   D Z P I O\n| |  \  |\nD Z I P O\n|  \  …  0
 359  velk          RKDF|2                                    R K D F\n|  \  |\nR D K F\n \  | |\nD R…  1
 360  velk          LTJX|4                                    L T J X\n|  \  |\nL J T X\n \  | |\nJ L…  1
 361  velk          YBCU|2                                    Y B C U\n|  \  |\nY C B U\n \  | |\nC Y…  1
 362  velk          RHGOY|5                                   R H G O Y\n| |  \  |\nR H O G Y\n|  \  …  0
 363  velk          TEGQ|2                                    T E G Q\n|  \  |\nT G E Q\n \  | |\nG T…  1
 364  velk          QORHNF|4                                  Q O R H N F\n| | |  \  |\nQ O R N H F\n…  0
 365  velk          KADIWU|6                                  K A D I W U\n \  | | | |\nA K D I W U\n…  0
 366  velk          MHBRK|5                                   M H B R K\n| |  \  |\nM H R B K\n|  \  …  0
 367  velk          MFRJV|2                                   M F R J V\n| |  \  |\nM F J R V\n|  \  …  1
 368  velk          WYVF|3                                    W Y V F\n|  \  |\nW V Y F\n \  | |\nV W…  1
 369  velk          IGEMN|2                                   I G E M N\n| |  \  |\nI G M E N\n|  \  …  1
 370  velk          LOAF|6                                    L O A F\n|  \  |\nL A O F\n \  | |\nA L…  0
 371  velk          KYXDM|5                                   K Y X D M\n| |  \  |\nK Y D X M\n|  \  …  0
 372  velk          CEJI|4                                    C E J I\n|  \  |\nC J E I\n \  | |\nJ C…  1
 373  velk          ERTOJ|4                                   E R T O J\n \  | | |\nR E T O J\n| |  \…  0
 374  velk          CEXGM|6                                   C E X G M\n| |  \  |\nC E G X M\n|  \  …  0
 375  velk          ARDE|2                                    A R D E\n|  \  |\nA D R E\n \  | |\nD A…  1
 376  velk          RSUBT|3                                   R S U B T\n| |  \  |\nR S B U T\n|  \  …  1
 377  velk          SROBL|3                                   S R O B L\n|  \  | |\nS O R B L\n \  | …  1
 378  velk          LBGK|2                                    L B G K\n|  \  |\nL G B K\n \  | |\nG L…  1
 379  velk          TRLW|2                                    T R L W\n|  \  |\nT L R W\n \  | |\nL T…  1
 380  velk          SGQFI|2                                   S G Q F I\n| |  \  |\nS G F Q I\n|  \  …  1
 381  velk          HLAJ|4                                    H L A J\n \  | |\nL H A J\n| |  \\nL H …  1
 382  velk          CDRJ|5                                    C D R J\n|  \  |\nC R D J\n \  | |\nR C…  0
 383  velk          RSIT|2                                    R S I T\n|  \  |\nR I S T\n \  | |\nI R…  1
 384  velk          QSOJ|5                                    Q S O J\n|  \  |\nQ O S J\n \  | |\nO Q…  1
 385  velk          IZYH|3                                    I Z Y H\n|  \  |\nI Y Z H\n \  | |\nY I…  1
 386  velk          FGKT|3                                    F G K T\n|  \  |\nF K G T\n \  | |\nK F…  0
 387  velk          TSDMXB|5                                  T S D M X B\n| | |  \  |\nT S D X M B\n…  0
 388  velk          QBOX|4                                    Q B O X\n|  \  |\nQ O B X\n \  | |\nO Q…  1
 389  velk          SLTVZ|6                                   S L T V Z\n \  | | |\nL S T V Z\n| |  \…  0
 390  velk          BKGMQ|3                                   B K G M Q\n| |  \  |\nB K M G Q\n|  \  …  0
 391  velk          FAYLJ|5                                   F A Y L J\n| |  \  |\nF A L Y J\n|  \  …  1
 392  velk          SNLO|5                                    S N L O\n|  \  |\nS L N O\n \  | |\nL S…  1
 393  velk          LDIS|5                                    L D I S\n|  \  |\nL I D S\n \  | |\nI L…  1
 394  velk          DGHI|3                                    D G H I\n|  \  |\nD H G I\n \  | |\nH D…  0
 395  velk          VQNL|2                                    V Q N L\n|  \  |\nV N Q L\n \  | |\nN V…  1
 396  velk          TCRPU|6                                   T C R P U\n| |  \  |\nT C P R U\n|  \  …  0
 397  velk          AUSX|4                                    A U S X\n \  | |\nU A S X\n| |  \\nU A …  1
 398  velk          VTUG|4                                    V T U G\n|  \  |\nV U T G\n \  | |\nU V…  0
 399  velk          XAZJ|4                                    X A Z J\n|  \  |\nX Z A J\n \  | |\nZ X…  1
 400  velk          EVPRY|2                                   E V P R Y\n| |  \  |\nE V R P Y\n|  \  …  1
 401  velk          OASXH|6                                   O A S X H\n|  \  | |\nO S A X H\n \  | …  1
 402  velk          YDSV|6                                    Y D S V\n|  \  |\nY S D V\n \  | |\nS Y…  0
 403  velk          LMYE|6                                    L M Y E\n|  \  |\nL Y M E\n \  | |\nY L…  0
 404  velk          CEGV|2                                    C E G V\n|  \  |\nC G E V\n \  | |\nG C…  1
 405  velk          YWUBR|2                                   Y W U B R\n| |  \  |\nY W B U R\n|  \  …  1
 406  velk          JLHIYC|3                                  J L H I Y C\n| | |  \  |\nJ L H Y I C\n…  0
 407  velk          LZAXW|4                                   L Z A X W\n| |  \  |\nL Z X A W\n|  \  …  1
 408  velk          BOJNPL|4                                  B O J N P L\n| | |  \  |\nB O J P N L\n…  1
 409  velk          ZQBVX|6                                   Z Q B V X\n|  \  | |\nZ B Q V X\n \  | …  1
 410  velk          ECGTOW|4                                  E C G T O W\n| | |  \  |\nE C G O T W\n…  0
 411  velk          PHBX|5                                    P H B X\n|  \  |\nP B H X\n \  | |\nB P…  0
 412  velk          VMON|5                                    V M O N\n|  \  |\nV O M N\n \  | |\nO V…  1
 413  velk          SNVI|2                                    S N V I\n|  \  |\nS V N I\n \  | |\nV S…  1
 414  velk          TGUI|5                                    T G U I\n|  \  |\nT U G I\n \  | |\nU T…  0
 415  velk          ESIZK|2                                   E S I Z K\n| |  \  |\nE S Z I K\n|  \  …  1
 416  velk          BAVTOY|6                                  B A V T O Y\n| | |  \  |\nB A V O T Y\n…  1
 417  velk          ZJWO|3                                    Z J W O\n|  \  |\nZ W J O\n \  | |\nW Z…  1
 418  velk          FDBV|2                                    F D B V\n|  \  |\nF B D V\n \  | |\nB F…  1
 419  velk          MAIC|5                                    M A I C\n|  \  |\nM I A C\n \  | |\nI M…  0
 420  velk          FBPUJ|4                                   F B P U J\n| |  \  |\nF B U P J\n|  \  …  0
 421  velk          UWQFGP|3                                  U W Q F G P\n \  | | | |\nW U Q F G P\n…  0
 422  velk          TJGI|5                                    T J G I\n|  \  |\nT G J I\n \  | |\nG T…  0
 423  velk          IMGZC|6                                   I M G Z C\n| |  \  |\nI M Z G C\n|  \  …  1
 424  velk          OEDGPF|2                                  O E D G P F\n| | |  \  |\nO E D P G F\n…  1
 425  velk          TURMH|2                                   T U R M H\n| |  \  |\nT U M R H\n|  \  …  1
 426  velk          DGZP|5                                    D G Z P\n|  \  |\nD Z G P\n \  | |\nZ D…  0
 427  velk          HSXPK|3                                   H S X P K\n| |  \  |\nH S P X K\n|  \  …  0
 428  velk          LDKNP|6                                   L D K N P\n| |  \  |\nL D N K P\n|  \  …  0
 429  velk          RBDAV|4                                   R B D A V\n \  | | |\nB R D A V\n| |  \…  0
 430  velk          XVZB|4                                    X V Z B\n|  \  |\nX Z V B\n \  | |\nZ X…  0
 431  velk          EFSGO|3                                   E F S G O\n| |  \  |\nE F G S O\n|  \  …  1
 432  velk          GCFV|6                                    G C F V\n|  \  |\nG F C V\n \  | |\nF G…  1
 433  velk          CJYKD|3                                   C J Y K D\n|  \  | |\nC Y J K D\n \  | …  1
 434  velk          CRLS|2                                    C R L S\n|  \  |\nC L R S\n \  | |\nL C…  1
 435  velk          ZQVLI|4                                   Z Q V L I\n| |  \  |\nZ Q L V I\n|  \  …  0
 436  velk          BYJFMI|2                                  B Y J F M I\n| | |  \  |\nB Y J M F I\n…  1
 437  velk          RZPS|2                                    R Z P S\n|  \  |\nR P Z S\n \  | |\nP R…  1
 438  velk          NZHKP|4                                   N Z H K P\n| |  \  |\nN Z K H P\n|  \  …  0
 439  velk          MWIQ|5                                    M W I Q\n|  \  |\nM I W Q\n \  | |\nI M…  1
 440  velk          OIQK|3                                    O I Q K\n|  \  |\nO Q I K\n \  | |\nQ O…  1
 441  velk          UMPJI|5                                   U M P J I\n|  \  | |\nU P M J I\n \  | …  1
 442  velk          SVGDLC|4                                  S V G D L C\n| | |  \  |\nS V G L D C\n…  0
 443  velk          EOMN|6                                    E O M N\n|  \  |\nE M O N\n \  | |\nM E…  0
 444  velk          GACY|6                                    G A C Y\n|  \  |\nG C A Y\n \  | |\nC G…  1
 445  velk          ZWEHNV|3                                  Z W E H N V\n \  | | | |\nW Z E H N V\n…  0
 446  velk          CKZAL|5                                   C K Z A L\n| |  \  |\nC K A Z L\n|  \  …  0
 447  velk          NYHM|5                                    N Y H M\n|  \  |\nN H Y M\n \  | |\nH N…  1
 448  velk          YIXDB|3                                   Y I X D B\n| |  \  |\nY I D X B\n|  \  …  1
 449  velk          PKOIA|2                                   P K O I A\n| |  \  |\nP K I O A\n|  \  …  1
 450  velk          DSLE|2                                    D S L E\n|  \  |\nD L S E\n \  | |\nL D…  1
 451  velk          LBXO|6                                    L B X O\n|  \  |\nL X B O\n \  | |\nX L…  0
 452  velk          PKTY|3                                    P K T Y\n|  \  |\nP T K Y\n \  | |\nT P…  1
 453  velk          AQVREJ|2                                  A Q V R E J\n| | |  \  |\nA Q V E R J\n…  1
 454  velk          IDYQC|6                                   I D Y Q C\n| |  \  |\nI D Q Y C\n|  \  …  0
 455  velk          PEGZTH|3                                  P E G Z T H\n| | |  \  |\nP E G T Z H\n…  1
 456  velk          KPNI|5                                    K P N I\n|  \  |\nK N P I\n \  | |\nN K…  1
 457  velk          QHZX|3                                    Q H Z X\n|  \  |\nQ Z H X\n \  | |\nZ Q…  1
 458  velk          HGZY|2                                    H G Z Y\n|  \  |\nH Z G Y\n \  | |\nZ H…  1
 459  velk          EJRPOH|3                                  E J R P O H\n| | |  \  |\nE J R O P H\n…  0
 460  velk          PIXMT|2                                   P I X M T\n| |  \  |\nP I M X T\n|  \  …  1
 461  velk          XARJU|5                                   X A R J U\n \  | | |\nA X R J U\n| |  \…  0
 462  velk          EOBMG|3                                   E O B M G\n| |  \  |\nE O M B G\n|  \  …  0
 463  velk          BHGNA|2                                   B H G N A\n| |  \  |\nB H N G A\n|  \  …  1
 464  velk          TZDSWI|6                                  T Z D S W I\n| | |  \  |\nT Z D W S I\n…  1
 465  velk          LPTGVY|6                                  L P T G V Y\n| |  \  | |\nL P G T V Y\n…  1
 466  velk          RIMTN|6                                   R I M T N\n| |  \  |\nR I T M N\n|  \  …  0
 467  velk          OSNF|5                                    O S N F\n|  \  |\nO N S F\n \  | |\nN O…  0
 468  velk          ABWH|4                                    A B W H\n|  \  |\nA W B H\n \  | |\nW A…  1
 469  velk          XUKHWC|3                                  X U K H W C\n \  | | | |\nU X K H W C\n…  0
 470  velk          MEOQ|3                                    M E O Q\n|  \  |\nM O E Q\n \  | |\nO M…  0
 471  velk          AEYT|5                                    A E Y T\n|  \  |\nA Y E T\n \  | |\nY A…  1
 472  velk          PRVH|3                                    P R V H\n|  \  |\nP V R H\n \  | |\nV P…  1
 473  velk          HMTEO|4                                   H M T E O\n|  \  | |\nH T M E O\n \  | …  1
 474  velk          BDXMR|3                                   B D X M R\n| |  \  |\nB D M X R\n|  \  …  0
 475  velk          LGYH|6                                    L G Y H\n|  \  |\nL Y G H\n \  | |\nY L…  0
 476  velk          QNJEZW|3                                  Q N J E Z W\n| | |  \  |\nQ N J Z E W\n…  0
 477  velk          BPHX|4                                    B P H X\n \  | |\nP B H X\n| |  \\nP B …  1
 478  velk          OLIJW|4                                   O L I J W\n| |  \  |\nO L J I W\n|  \  …  0
 479  velk          SCPU|2                                    S C P U\n|  \  |\nS P C U\n \  | |\nP S…  1
 480  velk          PIEFM|6                                   P I E F M\n| |  \  |\nP I F E M\n|  \  …  1
 481  velk          EQWGM|3                                   E Q W G M\n|  \  | |\nE W Q G M\n \  | …  1
 482  velk          CZKYX|3                                   C Z K Y X\n| |  \  |\nC Z Y K X\n|  \  …  0
 483  velk          IENJGQ|5                                  I E N J G Q\n| | |  \  |\nI E N G J Q\n…  0
 484  velk          VSMDF|3                                   V S M D F\n| |  \  |\nV S D M F\n|  \  …  0
 485  velk          MDNV|3                                    M D N V\n \  | |\nD M N V\n| |  \\nD M …  1
 486  velk          MRGB|5                                    M R G B\n|  \  |\nM G R B\n \  | |\nG M…  0

per-name tally this round
name             presented correct  hit-rate
velk                   487     276     56.7%
